description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
Fried Rice,174,3.84,3.19,32.5,361,9.7,11,0.46,0.69,22,0,0,0.03,0.92,0.02,0.01,0.29,0.03,0,0.49,0.59,1.13
Beetroot Curry,63.47,1.65,3.4,5.14,845.57,16.06,25.23,1.1,0.32,40.23,10.05,0.97,1.22,4.1,0.03,0.05,0.49,0.12,0,2.56,0.47,0.34
Beans Curry,48.33,2.27,2.07,4.31,555.31,32.28,44.91,1.2,0.38,31.98,11.66,0.85,0.38,7.72,0.05,0.04,0.53,0.24,0,1.3,0.46,0.23
"Dhal Curry, Thick",129.43,7.51,2.36,16.49,417.63,18.16,21.79,2.22,1.02,16.82,5.54,0.36,0.72,3.65,0.25,0.07,0.91,0.2,0,1.64,0.34,0.3
Sweet Potato Curry,95.37,1.81,5.24,12.9,520.78,19.61,31.94,0.83,0.28,355.97,7.18,0,0.56,3.5,0.05,0.04,0.38,0.15,0,3.05,0.51,0.16
Rice, 116.45,3.19,0.49,24.73,0.5,8.48,2.24,0.39,0.48,0,0,0,0.03,0.92,0.02,0.01,0.29,0.03,0,0.15,0.1,0.16
"Potato Curry, White",71.38,1.49,3.31,8.23,373.24,14.55,14.38,0.61,0.21,0.43,10.62,0.07,0.23,1.88,0.04,0.01,0.39,0.07,0.00
Hoppers,142.47,2.68,0.5,30.62,226.06,8.84,2.61,0.08,0.46,0,0,0,0.03,1.1,0.03,0,0.48,0.02,0,0.15,0.17,0.15
Brown Bread,265,13.4,4.23,35.9,381,78,103,2.5,1.7,0,0.1,0,0.37,1.4,0.28,0.13,4.04,0.26,0,0.87,0.76,1.87
Fried Noodles,126.4,4.84,2.95,18.79,385.06,13.54,24.55,0.72,0.29,90.56,3.78,0.24,0.22,8.37,0.04,0.06,0.37,0.09,0.08,1.85,0.47,0.31
Pasta Boiled,158,5.8,0.93,29.1,1,18,7,0.5,0.51,0,0,0,0.06,0.5,0.02,0.02,0.4,0.05,0,0.18,0.13,0.33
Pepperoni Pizza - Pizza Hut,298,12,14.2,28.7,692,22,146,2.14,1.54,47,1,0,0.78,19.3,0.29,0.25,3.84,0.14,0.64,1.8,6.42,4.46
"BURGER KING, Cheeseburger",286.0,14.57,14.81,23.71,602.0,24.0,93.0,2.5,2.4,0.0,0.2,0.0,0.1,5.7,0.303,0.24,3.4,0.09,0.0,6.842,5.704,1.521
"McDONALD'S, Sausage Burrito",1159.0,11.1,15.63,22.97,744.0,18.0,132.0,2.28,1.09,79.0,0.0,0.0,0.94,0.0,0.21,0.417,2.133,0.102,0.74,6.404,5.073,3.366
"Soup, ramen noodle, any flavor, dry",440.0,10.17,17.59,60.26,1855.0,25.0,21.0,4.11,0.6,1.0,0.3,0.0,2.44,8.9,0.448,0.255,5.401,0.038,0.25,8.117,6.156,2.198
"Lasagna, Vegetable, frozen, baked",580.0,6.87,6.04,14.18,445.0,21.0,150.0,0.55,0.87,68.0,1.1,0.0,0.46,17.8,0.117,0.185,0.81,0.102,0.59,2.866,1.721,1.337
"Falafel, home-prepared",1393.0,13.31,17.8,31.84,294.0,82.0,54.0,3.42,1.5,1.0,1.6,0.0,0.0,0.0,0.146,0.166,1.044,0.125,0.0,2.383,10.171,4.16
"Hummus, commercial",992.0,7.78,17.82,15.0,426.0,75.0,47.0,2.54,1.44,1.0,0.0,0.0,1.54,22.8,0.16,0.127,1.024,0.146,0.0,2.562,5.34,8.812
"Babyfood, dinner, vegetables and dumplings and beef, junior",201.0,2.1,0.8,8.0,52.0,7.0,14.0,0.47,0.33,33.0,0.8,0.0,0.0,0.0,0.039,0.036,0.49,0.048,0.09,0.0,0.0,0.0
"Beef, tenderloin steak, raw",0.0,21.09375,6.456,0.18025,44.85,21.98,4.089,2.53,3.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fried Chicken,288.86,39.27,13.39,0,78.55,48.87,8.82,0.65,1.19,15.71,0,0,0.99,14.72,0.16,0.31,16.76,1.42,0.37,10.33,2.18,0.89
Chicken Curry,123.82,15.29,4.78,3.03,452.74,28.32,27.21,0.91,0.65,35.73,8.35,0.63,1.34,9.92,0.08,0.14,6.49,0.63,0.13,2.64,0.77,0.51
"Beef stew, canned entree",99.0,4.41,5.53,7.85,388.0,8.0,12.0,2.48,1.0,11.0,0.7,0.0,0.27,6.2,0.073,0.053,1.096,0.087,0.5,2.185,2.543,0.251
"Crustaceans, lobster, northern, raw",324.0,16.52,0.75,0.0,423.0,38.0,84.0,0.26,3.53,1.0,0.0,0.0,0.87,0.0,0.02,0.014,1.591,0.104,1.25,0.181,0.22,0.296
"Crustaceans, crab, blue, crab cakes, home recipe",155.0,20.21,7.52,0.48,330.0,33.0,105.0,1.08,4.09,57.0,2.8,0.0,0.0,0.0,0.09,0.08,2.9,0.17,5.94,1.483,2.815,2.273
"Lamb, New Zealand, imported, neck chops, separable lean only, raw",151.0,19.84,7.97,0.0,81.0,20.0,23.0,1.24,3.48,5.0,0.0,0.0,0.24,0.0,0.08,0.145,4.297,0.121,2.89,3.12,2.172,0.38
"Meatballs, meatless",824.0,21.0,9.0,8.0,550.0,18.0,25.0,2.16,1.8,0.0,0.0,0.0,1.73,0.0,0.938,0.213,2.5,0.2,1.5,1.425,2.188,4.666
"Salad dressing, caesar dressing, regular",542.0,2.17,57.85,3.3,1209.0,2.0,48.0,1.08,0.11,9.0,0.3,0.1,4.74,104.8,0.01,0.01,0.04,0.025,0.03,8.789,13.504,32.857
