description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
