description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12
"Yogurt, plain, low fat",265.0,5.25,1.55,7.04,70.0,17.0,183.0,0.08,0.89,14.0,0.8,0.0,0.03,0.2,0.044,0.214,0.114,0.049,0.56
Tofu yogurt,394.0,3.5,1.8,15.96,35.0,40.0,118.0,1.06,0.31,2.0,2.5,0.0,0.31,3.5,0.06,0.02,0.24,0.02,0.0
Chicken Curry,123.82,15.29,4.78,3.03,452.74,28.32,27.21,0.91,0.65,35.73,8.35,0.63,1.34,9.92,0.08,0.14,6.49,0.63,0.13
"Restaurant, Chinese, sesame chicken",1226.0,14.33,14.25,26.88,482.0,22.0,12.0,1.09,0.91,83.0,1.0,0.1,1.31,27.1,0.04,0.225,3.96,0.267,0.25
"Restaurant, Chinese, fried rice, without meat",174.0,4.05,2.96,32.79,387.0,10.0,12.0,0.66,0.72,22.0,3.8,0.0,0.13,2.8,0.015,0.026,0.637,0.032,0.0
Fried Rice,174.00,3.84,3.19,32.50,361.00,9.70,11.00,0.46,0.69,22.00,0.00,0.00,0.03,0.92,0.02,0.01,0.29,0.03,0.00
"Beverages, PEPSICO QUAKER, Gatorade, G performance O 2, ready-to-drink.",26.0,0.0,0.0,6.43,39.0,0.0,1.0,0.05,0.01,0.0,0.4,0.0,0.0,0.2,0.011,0.0,0.22,0.022,0.0
"Yogurt, fruit, low fat,9 g protein/8 oz",415.0,3.98,1.15,18.64,53.0,13.0,138.0,0.06,0.67,11.0,0.6,0.0,0.02,0.1,0.034,0.162,0.086,0.037,0.43
Bun,273.00,8.60,6.30,42.20,524.00,36.00,176.00,3.55,0.90,0.00,0.00,0.00,0.36,2.70,0.43,0.27,4.07,0.08,0.00
"Braunschweiger (a liver sausage), pork",327.0,14.5,28.5,3.1,977.0,11.0,9.0,11.2,2.81,4220.0,0.0,1.2,0.35,1.6,0.249,1.525,8.368,0.33,20.09
"CRACKER BARREL, macaroni n' cheese",194.0,6.49,11.75,15.61,375.0,17.0,145.0,0.57,0.83,61.0,0.0,0.0,0.73,0.0,0.097,0.247,0.71,0.06,0.19
