description,calories,proteins,fats,carbohydrates,sodium,Magnesium,calcium,iron,zinc,vitamin A,vitamin C,vitamin D,vitamin E,vitamin K,vitamin B1,vitamin B2,vitamin B3,vitamin B6,vitamin B12,SFA,MUFA,PUFA
"Rice, Basmati, Boiled",130,2.69,0.28,27.8,1,12,10,0.2,0.49,0,0,0,0.04,0,0.02,0.01,0.4,0.09,0,0.08,0.09,0.08
Rice,116.45,3.19,0.49,24.73,0.5,8.48,2.24,0.39,0.48,0,0,0,0.03,0.92,0.02,0.01,0.29,0.03,0,0.15,0.1,0.16
"Rice, Keeri Samba, Boiled",111.18,2.56,0.56,23.99,0.63,6.7,1.98,0.05,0.56,0,0,0,0.02,0.77,0.02,0.01,0.47,0.04,0,0.19,0.12,0.16
"Rice, Red Kekulu, Boiled",120.79,2.85,0.7,25.61,0.53,10.46,1.56,0.29,0.61,0,0,0,0.03,0.88,0.18,0.02,0.35,0.03,0,0.18,0.19,0.22
"Rice, Samba, Boiled",116.45,3.19,0.49,24.73,0.5,8.48,2.24,0.39,0.48,0,0,0,0.03,0.92,0.02,0.01,0.29,0.03,0,0.15,0.1,0.16
"Rice, White Kekulu, Boiled",131.18,2.78,0.53,28.71,1.08,7.2,1.64,0.23,0.58,0,0,0,0.03,1.04,0.02,0.01,0.43,0.04,0,0.18,0.11,0.16
"Rice, White Nadu, Boiled",130.85,2.43,0.87,28.2,0.77,13.21,3.09,0.42,0.53,0,0,0,0.03,0.79,0.02,0.02,0.62,0.05,0,0.24,0.21,0.29
Fried Rice,174,3.84,3.19,32.5,361,9.7,11,0.46,0.69,22,0,0,0.03,0.92,0.02,0.01,0.29,0.03,0,0.49,0.59,1.13
Yellow Rice,103,1.76,2.43,18.3,41,29,11,0.6,0.31,22,0,0.1,0.28,2.4,0.08,0.03,0.88,0.14,0,0.38,1.07,0.81
Kiribath,114.17,2.86,1.91,21.29,212.91,7.11,2.15,0.33,0.41,0,0,0,0.02,0.77,0.17,0.01,0.24,0.02,0,1.42,0.25,0.17
"Milk Rice, Red",114.66,2.5,2.09,21.31,267.75,8.47,1.6,0.24,0.49,0,0,0,0.02,0.71,0.14,0.01,0.28,0.03,0,1.47,0.32,0.22
Bun,273,8.6,6.3,42.2,524,36,176,3.55,0.9,0,0,0,0.36,2.7,0.43,0.27,4.07,0.08,0,1.5,3.11,1.11
Brown Bread,265,13.4,4.23,35.9,381,78,103,2.5,1.7,0,0.1,0,0.37,1.4,0.28,0.13,4.04,0.26,0,0.87,0.76,1.87
Sandwich Bread,270,9.43,3.59,46.9,477,27,211,3.36,0.88,0,0,0,0.22,0.2,0.51,0.24,4.76,0.09,0,0.82,0.72,1.87
